 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\11Li_silicon.txt

 Ion = Lithium [3] , Mass = 11,04372 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900,00 keV   4,392E+02  2,565E+00    3,03 um     2707 A      3505 A   
   1,00 MeV   4,535E+02  2,356E+00    3,25 um     2757 A      3593 A   
   1,10 MeV   4,658E+02  2,182E+00    3,47 um     2803 A      3672 A   
   1,20 MeV   4,764E+02  2,033E+00    3,68 um     2845 A      3746 A   
   1,30 MeV   4,854E+02  1,905E+00    3,88 um     2884 A      3814 A   
   1,40 MeV   4,931E+02  1,793E+00    4,09 um     2920 A      3878 A   
   1,50 MeV   4,997E+02  1,695E+00    4,28 um     2954 A      3938 A   
   1,60 MeV   5,053E+02  1,607E+00    4,48 um     2987 A      3994 A   
   1,70 MeV   5,099E+02  1,529E+00    4,68 um     3018 A      4048 A   
   1,80 MeV   5,138E+02  1,459E+00    4,87 um     3048 A      4100 A   
   2,00 MeV   5,195E+02  1,337E+00    5,26 um     3127 A      4198 A   
   2,25 MeV   5,236E+02  1,212E+00    5,73 um     3235 A      4311 A   
   2,50 MeV   5,250E+02  1,111E+00    6,21 um     3337 A      4417 A   
   2,75 MeV   5,245E+02  1,025E+00    6,68 um     3434 A      4517 A   
   3,00 MeV   5,224E+02  9,533E-01    7,15 um     3528 A      4613 A   
   3,25 MeV   5,192E+02  8,912E-01    7,63 um     3620 A      4705 A   
   3,50 MeV   5,151E+02  8,372E-01    8,11 um     3710 A      4795 A   
   3,75 MeV   5,103E+02  7,898E-01    8,60 um     3799 A      4883 A   
   4,00 MeV   5,051E+02  7,478E-01    9,09 um     3887 A      4969 A   
   4,50 MeV   4,937E+02  6,767E-01   10,09 um     4182 A      5138 A   
   5,00 MeV   4,816E+02  6,186E-01   11,11 um     4469 A      5305 A   
   5,50 MeV   4,692E+02  5,703E-01   12,16 um     4751 A      5471 A   
   6,00 MeV   4,570E+02  5,294E-01   13,24 um     5031 A      5636 A   
   6,50 MeV   4,450E+02  4,943E-01   14,34 um     5310 A      5803 A   
   7,00 MeV   4,333E+02  4,638E-01   15,48 um     5588 A      5971 A   
   8,00 MeV   4,113E+02  4,135E-01   17,84 um     6586 A      6315 A   
   9,00 MeV   3,911E+02  3,735E-01   20,33 um     7538 A      6670 A   
  10,00 MeV   3,726E+02  3,409E-01   22,95 um     8465 A      7038 A   
  11,00 MeV   3,557E+02  3,139E-01   25,69 um     9381 A      7421 A   
  12,00 MeV   3,403E+02  2,910E-01   28,56 um     1,03 um     7819 A   
  13,00 MeV   3,263E+02  2,714E-01   31,56 um     1,12 um     8233 A   
  14,00 MeV   3,134E+02  2,545E-01   34,68 um     1,21 um     8663 A   
  15,00 MeV   3,015E+02  2,396E-01   37,93 um     1,30 um     9110 A   
  16,00 MeV   2,906E+02  2,265E-01   41,31 um     1,39 um     9573 A   
  17,00 MeV   2,805E+02  2,148E-01   44,80 um     1,49 um     1,01 um  
  18,00 MeV   2,711E+02  2,043E-01   48,43 um     1,58 um     1,05 um  
  20,00 MeV   2,543E+02  1,862E-01   56,03 um     1,93 um     1,16 um  
  22,50 MeV   2,363E+02  1,679E-01   66,22 um     2,42 um     1,30 um  
  25,00 MeV   2,199E+02  1,530E-01   77,18 um     2,89 um     1,45 um  
  27,50 MeV   2,046E+02  1,407E-01   88,96 um     3,36 um     1,61 um  
  30,00 MeV   1,925E+02  1,303E-01  101,54 um     3,82 um     1,78 um  
  32,50 MeV   1,818E+02  1,214E-01  114,90 um     4,28 um     1,96 um  
  35,00 MeV   1,725E+02  1,137E-01  129,00 um     4,74 um     2,15 um  
  37,50 MeV   1,641E+02  1,069E-01  143,85 um     5,21 um     2,35 um  
  40,00 MeV   1,566E+02  1,010E-01  159,43 um     5,67 um     2,56 um  
  45,00 MeV   1,438E+02  9,095E-02  192,73 um     7,42 um     3,01 um  
  50,00 MeV   1,331E+02  8,281E-02  228,86 um     9,05 um     3,50 um  
  55,00 MeV   1,240E+02  7,607E-02  267,76 um    10,63 um     4,02 um  
  60,00 MeV   1,162E+02  7,038E-02  309,39 um    12,20 um     4,57 um  
  65,00 MeV   1,094E+02  6,553E-02  353,70 um    13,76 um     5,15 um  
  70,00 MeV   1,035E+02  6,133E-02  400,65 um    15,33 um     5,77 um  
  80,00 MeV   9,354E+01  5,442E-02  502,24 um    21,11 um     7,11 um  
  90,00 MeV   8,550E+01  4,896E-02  614,00 um    26,47 um     8,56 um  
 100,00 MeV   7,886E+01  4,454E-02  735,72 um    31,68 um    10,14 um  
 110,00 MeV   7,327E+01  4,089E-02  867,21 um    36,85 um    11,83 um  
 120,00 MeV   6,850E+01  3,781E-02    1,01 mm    42,03 um    13,63 um  
 130,00 MeV   6,437E+01  3,518E-02    1,16 mm    47,25 um    15,55 um  
 140,00 MeV   6,076E+01  3,290E-02    1,32 mm    52,52 um    17,57 um  
 150,00 MeV   5,758E+01  3,092E-02    1,49 mm    57,85 um    19,71 um  
 160,00 MeV   5,474E+01  2,917E-02    1,67 mm    63,25 um    21,94 um  
 170,00 MeV   5,220E+01  2,761E-02    1,85 mm    68,73 um    24,29 um  
 180,00 MeV   4,991E+01  2,622E-02    2,05 mm    74,29 um    26,73 um  
 200,00 MeV   4,594E+01  2,384E-02    2,47 mm    95,24 um    31,92 um  
 225,00 MeV   4,187E+01  2,143E-02    3,04 mm   125,20 um    38,97 um  
 250,00 MeV   3,853E+01  1,947E-02    3,66 mm   153,49 um    46,62 um  
 275,00 MeV   3,573E+01  1,786E-02    4,33 mm   181,13 um    54,85 um  
