 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\12Li_silicon.txt

 Ion = Lithium [3] , Mass = 12,05261 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,519E+01  5,813E+01      82 A        62 A        46 A   
   1,10 keV   1,593E+01  5,863E+01      89 A        67 A        49 A   
   1,20 keV   1,664E+01  5,903E+01      96 A        71 A        52 A   
   1,30 keV   1,732E+01  5,933E+01     102 A        76 A        55 A   
   1,40 keV   1,797E+01  5,957E+01     109 A        80 A        58 A   
   1,50 keV   1,860E+01  5,974E+01     116 A        84 A        61 A   
   1,60 keV   1,921E+01  5,987E+01     122 A        88 A        64 A   
   1,70 keV   1,980E+01  5,994E+01     129 A        92 A        67 A   
   1,80 keV   2,038E+01  5,999E+01     135 A        96 A        70 A   
   2,00 keV   2,148E+01  5,998E+01     149 A       104 A        76 A   
   2,25 keV   2,278E+01  5,984E+01     165 A       114 A        83 A   
   2,50 keV   2,401E+01  5,959E+01     182 A       124 A        90 A   
   2,75 keV   2,519E+01  5,927E+01     198 A       133 A        97 A   
   3,00 keV   2,631E+01  5,889E+01     215 A       143 A       104 A   
   3,25 keV   2,738E+01  5,847E+01     231 A       152 A       110 A   
   3,50 keV   2,841E+01  5,802E+01     248 A       161 A       117 A   
   3,75 keV   2,941E+01  5,755E+01     265 A       170 A       124 A   
   4,00 keV   3,038E+01  5,706E+01     281 A       179 A       130 A   
   4,50 keV   3,222E+01  5,607E+01     315 A       197 A       143 A   
   5,00 keV   3,396E+01  5,507E+01     349 A       214 A       156 A   
