 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\12Li_silicon.txt

 Ion = Lithium [3] , Mass = 12,05261 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
   5,50 keV   3,562E+01  5,408E+01     383 A       232 A       169 A   
   6,00 keV   3,720E+01  5,310E+01     417 A       248 A       182 A   
   6,50 keV   3,872E+01  5,215E+01     452 A       265 A       195 A   
   7,00 keV   4,018E+01  5,122E+01     487 A       281 A       207 A   
   8,00 keV   4,296E+01  4,945E+01     557 A       313 A       232 A   
   9,00 keV   4,556E+01  4,780E+01     627 A       344 A       256 A   
  10,00 keV   4,803E+01  4,626E+01     698 A       374 A       281 A   
  11,00 keV   5,037E+01  4,483E+01     769 A       403 A       304 A   
  12,00 keV   5,261E+01  4,349E+01     840 A       432 A       328 A   
  13,00 keV   5,476E+01  4,224E+01     912 A       460 A       351 A   
  14,00 keV   5,683E+01  4,107E+01     983 A       486 A       374 A   
  15,00 keV   5,882E+01  3,997E+01    1055 A       513 A       397 A   
  16,00 keV   6,075E+01  3,894E+01    1127 A       538 A       419 A   
  17,00 keV   6,262E+01  3,797E+01    1199 A       563 A       441 A   
  18,00 keV   6,444E+01  3,706E+01    1270 A       588 A       463 A   
  20,00 keV   6,792E+01  3,537E+01    1414 A       635 A       506 A   
  22,50 keV   7,204E+01  3,351E+01    1592 A       690 A       557 A   
  25,00 keV   7,602E+01  3,186E+01    1770 A       742 A       608 A   
  27,50 keV   7,993E+01  3,039E+01    1946 A       792 A       656 A   
  30,00 keV   8,362E+01  2,907E+01    2120 A       839 A       703 A   
  32,50 keV   8,710E+01  2,788E+01    2293 A       883 A       748 A   
  35,00 keV   9,036E+01  2,680E+01    2464 A       925 A       792 A   
  37,50 keV   9,342E+01  2,582E+01    2633 A       966 A       834 A   
  40,00 keV   9,627E+01  2,491E+01    2802 A      1004 A       875 A   
  45,00 keV   1,014E+02  2,331E+01    3135 A      1076 A       954 A   
  50,00 keV   1,059E+02  2,192E+01    3464 A      1143 A      1028 A   
  55,00 keV   1,101E+02  2,072E+01    3789 A      1206 A      1099 A   
  60,00 keV   1,143E+02  1,966E+01    4110 A      1264 A      1167 A   
  65,00 keV   1,186E+02  1,872E+01    4426 A      1319 A      1232 A   
  70,00 keV   1,231E+02  1,788E+01    4736 A      1369 A      1293 A   
  80,00 keV   1,324E+02  1,643E+01    5339 A      1462 A      1408 A   
  90,00 keV   1,416E+02  1,522E+01    5918 A      1543 A      1513 A   
 100,00 keV   1,504E+02  1,420E+01    6474 A      1614 A      1609 A   
 110,00 keV   1,588E+02  1,333E+01    7010 A      1678 A      1697 A   
 120,00 keV   1,667E+02  1,257E+01    7527 A      1735 A      1779 A   
 130,00 keV   1,742E+02  1,190E+01    8027 A      1786 A      1854 A   
 140,00 keV   1,814E+02  1,131E+01    8513 A      1833 A      1924 A   
 150,00 keV   1,884E+02  1,078E+01    8985 A      1876 A      1990 A   
 160,00 keV   1,950E+02  1,030E+01    9445 A      1916 A      2051 A   
 170,00 keV   2,014E+02  9,868E+00    9893 A      1952 A      2109 A   
 180,00 keV   2,075E+02  9,476E+00    1,03 um     1986 A      2163 A   
 200,00 keV   2,192E+02  8,787E+00    1,12 um     2049 A      2264 A   
 225,00 keV   2,329E+02  8,069E+00    1,22 um     2117 A      2376 A   
 250,00 keV   2,456E+02  7,470E+00    1,32 um     2176 A      2476 A   
 275,00 keV   2,575E+02  6,963E+00    1,41 um     2228 A      2566 A   
 300,00 keV   2,686E+02  6,527E+00    1,50 um     2274 A      2648 A   
 325,00 keV   2,792E+02  6,147E+00    1,58 um     2315 A      2722 A   
 350,00 keV   2,892E+02  5,813E+00    1,67 um     2352 A      2791 A   
 375,00 keV   2,987E+02  5,517E+00    1,75 um     2386 A      2855 A   
 400,00 keV   3,077E+02  5,253E+00    1,83 um     2417 A      2914 A   
 450,00 keV   3,245E+02  4,800E+00    1,98 um     2477 A      3022 A   
 500,00 keV   3,399E+02  4,425E+00    2,12 um     2528 A      3117 A   
 550,00 keV   3,539E+02  4,109E+00    2,26 um     2573 A      3203 A   
 600,00 keV   3,669E+02  3,839E+00    2,40 um     2613 A      3280 A   
 650,00 keV   3,788E+02  3,605E+00    2,53 um     2649 A      3351 A   
 700,00 keV   3,899E+02  3,401E+00    2,65 um     2682 A      3417 A   
 800,00 keV   4,097E+02  3,059E+00    2,90 um     2751 A      3534 A   
 900,00 keV   4,268E+02  2,785E+00    3,13 um     2811 A      3637 A   
   1,00 MeV   4,417E+02  2,559E+00    3,36 um     2863 A      3729 A   
   1,10 MeV   4,545E+02  2,370E+00    3,58 um     2911 A      3813 A   
   1,20 MeV   4,657E+02  2,208E+00    3,79 um     2954 A      3889 A   
   1,30 MeV   4,755E+02  2,069E+00    4,00 um     2994 A      3960 A   
   1,40 MeV   4,839E+02  1,948E+00    4,21 um     3032 A      4026 A   
   1,50 MeV   4,913E+02  1,841E+00    4,41 um     3067 A      4088 A   
   1,60 MeV   4,976E+02  1,746E+00    4,61 um     3100 A      4147 A   
   1,70 MeV   5,030E+02  1,661E+00    4,81 um     3131 A      4203 A   
   1,80 MeV   5,077E+02  1,585E+00    5,01 um     3162 A      4256 A   
   2,00 MeV   5,149E+02  1,453E+00    5,39 um     3242 A      4355 A   
   2,25 MeV   5,208E+02  1,318E+00    5,87 um     3348 A      4471 A   
   2,50 MeV   5,240E+02  1,207E+00    6,35 um     3449 A      4577 A   
   2,75 MeV   5,251E+02  1,114E+00    6,82 um     3544 A      4678 A   
   3,00 MeV   5,245E+02  1,036E+00    7,30 um     3636 A      4774 A   
   3,25 MeV   5,226E+02  9,687E-01    7,77 um     3725 A      4866 A   
   3,50 MeV   5,198E+02  9,101E-01    8,25 um     3812 A      4955 A   
   3,75 MeV   5,162E+02  8,586E-01    8,73 um     3898 A      5042 A   
   4,00 MeV   5,120E+02  8,130E-01    9,22 um     3983 A      5126 A   
   4,50 MeV   5,024E+02  7,357E-01   10,20 um     4264 A      5292 A   
   5,00 MeV   4,917E+02  6,726E-01   11,20 um     4537 A      5453 A   
   5,50 MeV   4,806E+02  6,201E-01   12,23 um     4805 A      5612 A   
   6,00 MeV   4,693E+02  5,757E-01   13,28 um     5070 A      5771 A   
   6,50 MeV   4,581E+02  5,375E-01   14,35 um     5333 A      5930 A   
   7,00 MeV   4,470E+02  5,044E-01   15,46 um     5595 A      6089 A   
   8,00 MeV   4,259E+02  4,496E-01   17,74 um     6534 A      6412 A   
   9,00 MeV   4,061E+02  4,062E-01   20,14 um     7430 A      6744 A   
  10,00 MeV   3,879E+02  3,708E-01   22,66 um     8304 A      7086 A   
  11,00 MeV   3,712E+02  3,414E-01   25,29 um     9165 A      7440 A   
  12,00 MeV   3,558E+02  3,166E-01   28,04 um     1,00 um     7807 A   
  13,00 MeV   3,416E+02  2,953E-01   30,90 um     1,09 um     8188 A   
  14,00 MeV   3,286E+02  2,768E-01   33,88 um     1,17 um     8582 A   
  15,00 MeV   3,166E+02  2,606E-01   36,98 um     1,26 um     8991 A   
  16,00 MeV   3,054E+02  2,464E-01   40,19 um     1,35 um     9414 A   
  17,00 MeV   2,951E+02  2,336E-01   43,52 um     1,43 um     9851 A   
  18,00 MeV   2,855E+02  2,222E-01   46,96 um     1,52 um     1,03 um  
  20,00 MeV   2,682E+02  2,026E-01   54,18 um     1,84 um     1,13 um  
  22,50 MeV   2,496E+02  1,827E-01   63,83 um     2,31 um     1,25 um  
  25,00 MeV   2,337E+02  1,665E-01   74,18 um     2,75 um     1,39 um  
  27,50 MeV   2,186E+02  1,531E-01   85,23 um     3,18 um     1,53 um  
  30,00 MeV   2,047E+02  1,418E-01   97,04 um     3,61 um     1,69 um  
  32,50 MeV   1,935E+02  1,321E-01  109,59 um     4,04 um     1,85 um  
  35,00 MeV   1,836E+02  1,237E-01  122,85 um     4,47 um     2,02 um  
  37,50 MeV   1,748E+02  1,164E-01  136,79 um     4,91 um     2,20 um  
  40,00 MeV   1,669E+02  1,099E-01  151,42 um     5,34 um     2,39 um  
  45,00 MeV   1,532E+02  9,898E-02  182,67 um     6,97 um     2,80 um  
  50,00 MeV   1,419E+02  9,012E-02  216,56 um     8,50 um     3,23 um  
  55,00 MeV   1,323E+02  8,279E-02  253,04 um     9,98 um     3,70 um  
  60,00 MeV   1,240E+02  7,660E-02  292,05 um    11,45 um     4,20 um  
  65,00 MeV   1,168E+02  7,132E-02  333,56 um    12,91 um     4,73 um  
  70,00 MeV   1,105E+02  6,675E-02  377,53 um    14,38 um     5,29 um  
  80,00 MeV   9,995E+01  5,923E-02  472,62 um    19,77 um     6,49 um  
  90,00 MeV   9,140E+01  5,330E-02  577,19 um    24,78 um     7,80 um  
 100,00 MeV   8,434E+01  4,849E-02  691,04 um    29,65 um     9,22 um  
 110,00 MeV   7,838E+01  4,451E-02  813,97 um    34,47 um    10,74 um  
 120,00 MeV   7,330E+01  4,116E-02  945,84 um    39,30 um    12,37 um  
 130,00 MeV   6,889E+01  3,829E-02    1,09 mm    44,17 um    14,09 um  
 140,00 MeV   6,504E+01  3,582E-02    1,24 mm    49,08 um    15,92 um  
 150,00 MeV   6,164E+01  3,366E-02    1,39 mm    54,06 um    17,83 um  
 160,00 MeV   5,861E+01  3,175E-02    1,56 mm    59,10 um    19,85 um  
 170,00 MeV   5,590E+01  3,006E-02    1,73 mm    64,20 um    21,96 um  
 180,00 MeV   5,345E+01  2,855E-02    1,92 mm    69,38 um    24,15 um  
 200,00 MeV   4,921E+01  2,595E-02    2,31 mm    88,93 um    28,82 um  
 225,00 MeV   4,485E+01  2,333E-02    2,84 mm   116,87 um    35,16 um  
 250,00 MeV   4,128E+01  2,120E-02    3,42 mm   143,25 um    42,03 um  
 275,00 MeV   3,829E+01  1,945E-02    4,05 mm   169,03 um    49,43 um  
 300,00 MeV   3,574E+01  1,797E-02    4,72 mm   194,63 um    57,34 um  
 325,00 MeV   3,355E+01  1,671E-02    5,45 mm   220,26 um    65,75 um  
 350,00 MeV   3,165E+01  1,562E-02    6,21 mm   246,05 um    74,64 um  
 375,00 MeV   2,997E+01  1,467E-02    7,02 mm   272,06 um    84,02 um  
 400,00 MeV   2,848E+01  1,383E-02    7,88 mm   298,35 um    93,87 um  
 450,00 MeV   2,596E+01  1,242E-02    9,72 mm   396,90 um   114,95 um  
 500,00 MeV   2,390E+01  1,128E-02   11,72 mm   489,16 um   137,81 um  
 550,00 MeV   2,218E+01  1,034E-02   13,90 mm   578,84 um   162,40 um  
 600,00 MeV   2,072E+01  9,553E-03   16,23 mm   667,53 um   188,66 um  
 650,00 MeV   1,948E+01  8,879E-03   18,72 mm   756,06 um   216,55 um  
 700,00 MeV   1,839E+01  8,297E-03   21,36 mm   844,87 um   246,01 um  
 800,00 MeV   1,660E+01  7,342E-03   27,08 mm     1,17 mm   309,51 um  
 900,00 MeV   1,518E+01  6,591E-03   33,38 mm     1,48 mm   378,82 um  
   1,00 GeV   1,402E+01  5,983E-03   40,23 mm     1,77 mm   453,66 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  5,2883E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
