 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_silicon.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   5,50 MeV   1,269E+01  7,036E-03  253,80 um    11,19 um    11,97 um  
   6,00 MeV   1,189E+01  6,516E-03  294,32 um    12,84 um    13,76 um  
   6,50 MeV   1,120E+01  6,072E-03  337,45 um    14,50 um    15,66 um  
   7,00 MeV   1,059E+01  5,687E-03  383,14 um    16,17 um    17,66 um  
   8,00 MeV   9,576E+00  5,053E-03  482,01 um    21,92 um    21,95 um  
   9,00 MeV   8,754E+00  4,552E-03  590,78 um    27,36 um    26,64 um  
  10,00 MeV   8,075E+00  4,145E-03  709,23 um    32,70 um    31,70 um  
  11,00 MeV   7,504E+00  3,808E-03  837,16 um    38,04 um    37,14 um  
  12,00 MeV   7,017E+00  3,524E-03  974,42 um    43,42 um    42,94 um  
  13,00 MeV   6,595E+00  3,281E-03    1,12 mm    48,89 um    49,09 um  
  14,00 MeV   6,225E+00  3,071E-03    1,28 mm    54,44 um    55,59 um  
  15,00 MeV   5,900E+00  2,887E-03    1,44 mm    60,08 um    62,44 um  
  16,00 MeV   5,610E+00  2,726E-03    1,61 mm    65,83 um    69,62 um  
  17,00 MeV   5,350E+00  2,582E-03    1,80 mm    71,69 um    77,13 um  
  18,00 MeV   5,116E+00  2,453E-03    1,99 mm    77,65 um    84,97 um  
  20,00 MeV   4,711E+00  2,232E-03    2,39 mm    98,57 um   101,63 um  
  22,50 MeV   4,294E+00  2,008E-03    2,95 mm   128,36 um   124,21 um  
  25,00 MeV   3,953E+00  1,826E-03    3,55 mm   156,85 um   148,71 um  
  27,50 MeV   3,667E+00  1,676E-03    4,20 mm   184,92 um   175,06 um  
  30,00 MeV   3,425E+00  1,550E-03    4,91 mm   212,98 um   203,23 um  
  32,50 MeV   3,216E+00  1,442E-03    5,66 mm   241,23 um   233,17 um  
  35,00 MeV   3,034E+00  1,349E-03    6,46 mm   269,80 um   264,83 um  
  37,50 MeV   2,875E+00  1,267E-03    7,30 mm   298,76 um   298,18 um  
  40,00 MeV   2,733E+00  1,195E-03    8,19 mm   328,14 um   333,19 um  
  45,00 MeV   2,493E+00  1,074E-03   10,10 mm   432,32 um   408,06 um  
  50,00 MeV   2,297E+00  9,767E-04   12,18 mm   530,92 um   489,19 um  
  55,00 MeV   2,133E+00  8,958E-04   14,43 mm   627,42 um   576,34 um  
  60,00 MeV   1,995E+00  8,278E-04   16,85 mm   723,38 um   669,30 um  
  65,00 MeV   1,877E+00  7,698E-04   19,42 mm   819,57 um   767,89 um  
  70,00 MeV   1,774E+00  7,196E-04   22,16 mm   916,43 um   871,91 um  
  80,00 MeV   1,604E+00  6,373E-04   28,07 mm     1,26 mm     1,10 mm  
  90,00 MeV   1,469E+00  5,725E-04   34,56 mm     1,58 mm     1,34 mm  
 100,00 MeV   1,359E+00  5,201E-04   41,62 mm     1,89 mm     1,60 mm  
 110,00 MeV   1,269E+00  4,768E-04   49,21 mm     2,20 mm     1,88 mm  
 120,00 MeV   1,192E+00  4,404E-04   57,32 mm     2,50 mm     2,18 mm  
 130,00 MeV   1,126E+00  4,093E-04   65,93 mm     2,81 mm     2,49 mm  
 140,00 MeV   1,070E+00  3,825E-04   75,01 mm     3,12 mm     2,82 mm  
 150,00 MeV   1,020E+00  3,591E-04   84,55 mm     3,43 mm     3,16 mm  
 160,00 MeV   9,768E-01  3,385E-04   94,54 mm     3,74 mm     3,52 mm  
 170,00 MeV   9,381E-01  3,202E-04  104,96 mm     4,05 mm     3,88 mm  
 180,00 MeV   9,035E-01  3,039E-04  115,79 mm     4,37 mm     4,26 mm  
 200,00 MeV   8,443E-01  2,759E-04  138,63 mm     5,50 mm     5,06 mm  
 225,00 MeV   7,845E-01  2,476E-04  169,27 mm     7,08 mm     6,11 mm  
 250,00 MeV   7,364E-01  2,248E-04  202,08 mm     8,55 mm     7,22 mm  
 275,00 MeV   6,969E-01  2,059E-04  236,90 mm     9,95 mm     8,39 mm  
 300,00 MeV   6,638E-01  1,901E-04  273,57 mm    11,31 mm     9,59 mm  
 325,00 MeV   6,358E-01  1,766E-04  311,96 mm    12,64 mm    10,84 mm  
 350,00 MeV   6,118E-01  1,650E-04  351,95 mm    13,95 mm    12,13 mm  
 375,00 MeV   5,910E-01  1,548E-04  393,43 mm    15,23 mm    13,44 mm  
 400,00 MeV   5,728E-01  1,459E-04  436,30 mm    16,50 mm    14,78 mm  
 450,00 MeV   5,427E-01  1,309E-04  525,80 mm    20,98 mm    17,54 mm  
 500,00 MeV   5,188E-01  1,187E-04  619,84 mm    25,03 mm    20,37 mm  
 550,00 MeV   4,995E-01  1,087E-04  717,86 mm    28,80 mm    23,25 mm  
 600,00 MeV   4,837E-01  1,003E-04  819,40 mm    32,38 mm    26,18 mm  
 650,00 MeV   4,705E-01  9,318E-05  924,02 mm    35,79 mm    29,13 mm  
 700,00 MeV   4,593E-01  8,701E-05    1,03 m     39,08 mm    32,10 mm  
 800,00 MeV   4,419E-01  7,689E-05    1,25 m     50,43 mm    38,06 mm  
 900,00 MeV   4,289E-01  6,895E-05    1,48 m     60,29 mm    44,01 mm  
   1,00 GeV   4,191E-01  6,253E-05    1,72 m     69,20 mm    49,91 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  1,2774E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
