 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_silicon.txt

 Ion = Hydrogen [1] , Mass = 3,016049 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  50,00 keV   9,316E+01  9,948E-01    6771 A      1392 A      1554 A   
  55,00 keV   9,728E+01  9,282E-01    7260 A      1424 A      1609 A   
  60,00 keV   1,010E+02  8,708E-01    7733 A      1452 A      1659 A   
  65,00 keV   1,043E+02  8,208E-01    8192 A      1477 A      1705 A   
  70,00 keV   1,073E+02  7,767E-01    8639 A      1501 A      1748 A   
  80,00 keV   1,123E+02  7,027E-01    9507 A      1544 A      1826 A   
  90,00 keV   1,161E+02  6,427E-01    1,03 um     1582 A      1896 A   
 100,00 keV   1,190E+02  5,931E-01    1,12 um     1615 A      1960 A   
 110,00 keV   1,212E+02  5,512E-01    1,20 um     1646 A      2019 A   
 120,00 keV   1,228E+02  5,153E-01    1,28 um     1674 A      2074 A   
 130,00 keV   1,239E+02  4,842E-01    1,36 um     1701 A      2126 A   
 140,00 keV   1,245E+02  4,570E-01    1,43 um     1725 A      2176 A   
 150,00 keV   1,249E+02  4,329E-01    1,51 um     1749 A      2223 A   
 160,00 keV   1,250E+02  4,115E-01    1,59 um     1772 A      2269 A   
 170,00 keV   1,248E+02  3,922E-01    1,67 um     1793 A      2314 A   
 180,00 keV   1,245E+02  3,748E-01    1,75 um     1815 A      2358 A   
 200,00 keV   1,235E+02  3,447E-01    1,91 um     1862 A      2442 A   
 225,00 keV   1,217E+02  3,137E-01    2,11 um     1922 A      2543 A   
 250,00 keV   1,196E+02  2,882E-01    2,31 um     1981 A      2642 A   
 275,00 keV   1,173E+02  2,668E-01    2,52 um     2039 A      2739 A   
 300,00 keV   1,150E+02  2,486E-01    2,73 um     2096 A      2834 A   
 325,00 keV   1,126E+02  2,329E-01    2,95 um     2153 A      2930 A   
 350,00 keV   1,103E+02  2,192E-01    3,17 um     2210 A      3025 A   
 375,00 keV   1,081E+02  2,071E-01    3,40 um     2267 A      3120 A   
 400,00 keV   1,059E+02  1,964E-01    3,63 um     2325 A      3216 A   
 450,00 keV   1,017E+02  1,783E-01    4,10 um     2486 A      3409 A   
 500,00 keV   9,789E+01  1,634E-01    4,60 um     2649 A      3606 A   
 550,00 keV   9,437E+01  1,509E-01    5,12 um     2812 A      3808 A   
 600,00 keV   9,113E+01  1,404E-01    5,65 um     2978 A      4013 A   
 650,00 keV   8,814E+01  1,313E-01    6,21 um     3145 A      4224 A   
 700,00 keV   8,539E+01  1,234E-01    6,78 um     3314 A      4439 A   
 800,00 keV   8,047E+01  1,103E-01    7,98 um     3847 A      4885 A   
 900,00 keV   7,622E+01  9,982E-02    9,25 um     4369 A      5351 A   
   1,00 MeV   7,250E+01  9,130E-02   10,59 um     4885 A      5836 A   
   1,10 MeV   6,923E+01  8,420E-02   11,99 um     5398 A      6341 A   
   1,20 MeV   6,631E+01  7,819E-02   13,46 um     5911 A      6864 A   
   1,30 MeV   6,370E+01  7,303E-02   14,99 um     6425 A      7405 A   
   1,40 MeV   6,134E+01  6,855E-02   16,58 um     6940 A      7963 A   
   1,50 MeV   5,920E+01  6,461E-02   18,23 um     7458 A      8538 A   
   1,60 MeV   5,724E+01  6,113E-02   19,94 um     7978 A      9129 A   
   1,70 MeV   5,545E+01  5,803E-02   21,71 um     8502 A      9735 A   
   1,80 MeV   5,379E+01  5,525E-02   23,54 um     9028 A      1,04 um  
   2,00 MeV   5,084E+01  5,045E-02   27,34 um     1,08 um     1,16 um  
   2,25 MeV   4,770E+01  4,557E-02   32,40 um     1,33 um     1,33 um  
   2,50 MeV   4,502E+01  4,160E-02   37,78 um     1,56 um     1,51 um  
   2,75 MeV   4,270E+01  3,829E-02   43,46 um     1,79 um     1,69 um  
   3,00 MeV   4,067E+01  3,550E-02   49,44 um     2,01 um     1,89 um  
   3,25 MeV   3,888E+01  3,311E-02   55,71 um     2,23 um     2,09 um  
   3,50 MeV   3,710E+01  3,104E-02   62,27 um     2,45 um     2,29 um  
   3,75 MeV   3,545E+01  2,922E-02   69,14 um     2,67 um     2,51 um  
   4,00 MeV   3,402E+01  2,762E-02   76,32 um     2,90 um     2,73 um  
   4,50 MeV   3,153E+01  2,491E-02   91,54 um     3,68 um     3,19 um  
   5,00 MeV   2,943E+01  2,271E-02  107,92 um     4,42 um     3,69 um  
   5,50 MeV   2,762E+01  2,089E-02  125,41 um     5,13 um     4,21 um  
   6,00 MeV   2,604E+01  1,934E-02  144,01 um     5,84 um     4,76 um  
   6,50 MeV   2,466E+01  1,803E-02  163,69 um     6,55 um     5,33 um  
   7,00 MeV   2,344E+01  1,688E-02  184,44 um     7,26 um     5,94 um  
   8,00 MeV   2,136E+01  1,500E-02  229,03 um     9,77 um     7,22 um  
   9,00 MeV   1,966E+01  1,352E-02  277,73 um    12,10 um     8,60 um  
  10,00 MeV   1,824E+01  1,231E-02  330,42 um    14,37 um    10,09 um  
  11,00 MeV   1,704E+01  1,131E-02  387,03 um    16,62 um    11,67 um  
  12,00 MeV   1,600E+01  1,047E-02  447,47 um    18,88 um    13,34 um  
  13,00 MeV   1,509E+01  9,747E-03  511,70 um    21,14 um    15,10 um  
  14,00 MeV   1,430E+01  9,123E-03  579,64 um    23,43 um    16,95 um  
  15,00 MeV   1,359E+01  8,578E-03  651,24 um    25,75 um    18,90 um  
  16,00 MeV   1,296E+01  8,098E-03  726,46 um    28,09 um    20,93 um  
  17,00 MeV   1,239E+01  7,670E-03  805,24 um    30,47 um    23,04 um  
  18,00 MeV   1,187E+01  7,288E-03  887,56 um    32,87 um    25,24 um  
  20,00 MeV   1,097E+01  6,631E-03    1,06 mm    41,63 um    29,89 um  
  22,50 MeV   1,004E+01  5,967E-03    1,30 mm    54,11 um    36,16 um  
  25,00 MeV   9,265E+00  5,428E-03    1,56 mm    65,95 um    42,93 um  
  27,50 MeV   8,615E+00  4,982E-03    1,84 mm    77,54 um    50,18 um  
  30,00 MeV   8,059E+00  4,607E-03    2,14 mm    89,06 um    57,90 um  
  32,50 MeV   7,578E+00  4,286E-03    2,46 mm   100,61 um    66,09 um  
  35,00 MeV   7,156E+00  4,009E-03    2,80 mm   112,25 um    74,73 um  
  37,50 MeV   6,784E+00  3,767E-03    3,15 mm   124,02 um    83,82 um  
  40,00 MeV   6,453E+00  3,554E-03    3,53 mm   135,92 um    93,35 um  
  45,00 MeV   5,888E+00  3,195E-03    4,34 mm   179,44 um   113,72 um  
  50,00 MeV   5,423E+00  2,904E-03    5,23 mm   220,44 um   135,77 um  
  55,00 MeV   5,033E+00  2,664E-03    6,18 mm   260,47 um   159,48 um  
  60,00 MeV   4,701E+00  2,462E-03    7,21 mm   300,23 um   184,79 um  
  65,00 MeV   4,414E+00  2,289E-03    8,30 mm   340,06 um   211,67 um  
  70,00 MeV   4,165E+00  2,140E-03    9,47 mm   380,18 um   240,10 um  
  80,00 MeV   3,750E+00  1,896E-03   12,00 mm   526,09 um   301,48 um  
  90,00 MeV   3,418E+00  1,703E-03   14,79 mm   662,14 um   368,71 um  
 100,00 MeV   3,146E+00  1,547E-03   17,83 mm   794,81 um   441,59 um  
 110,00 MeV   2,920E+00  1,418E-03   21,13 mm   926,69 um   519,96 um  
 120,00 MeV   2,727E+00  1,310E-03   24,67 mm     1,06 mm   603,66 um  
 130,00 MeV   2,562E+00  1,218E-03   28,44 mm     1,19 mm   692,54 um  
 140,00 MeV   2,418E+00  1,138E-03   32,46 mm     1,33 mm   786,48 um  
 150,00 MeV   2,292E+00  1,068E-03   36,70 mm     1,46 mm   885,33 um  
 160,00 MeV   2,180E+00  1,007E-03   41,17 mm     1,60 mm   988,99 um  
 170,00 MeV   2,081E+00  9,527E-04   45,86 mm     1,74 mm     1,10 mm  
 180,00 MeV   1,991E+00  9,041E-04   50,76 mm     1,88 mm     1,21 mm  
 200,00 MeV   1,837E+00  8,209E-04   61,21 mm     2,41 mm     1,45 mm  
 225,00 MeV   1,680E+00  7,369E-04   75,42 mm     3,16 mm     1,77 mm  
 250,00 MeV   1,552E+00  6,690E-04   90,89 mm     3,86 mm     2,12 mm  
 275,00 MeV   1,446E+00  6,129E-04  107,55 mm     4,55 mm     2,49 mm  
 300,00 MeV   1,357E+00  5,658E-04  125,38 mm     5,22 mm     2,89 mm  
 325,00 MeV   1,280E+00  5,256E-04  144,33 mm     5,90 mm     3,31 mm  
 350,00 MeV   1,214E+00  4,910E-04  164,36 mm     6,57 mm     3,75 mm  
 375,00 MeV   1,156E+00  4,608E-04  185,44 mm     7,24 mm     4,21 mm  
 400,00 MeV   1,105E+00  4,342E-04  207,54 mm     7,92 mm     4,69 mm  
 450,00 MeV   1,019E+00  3,895E-04  254,64 mm    10,41 mm     5,70 mm  
 500,00 MeV   9,488E-01  3,534E-04  305,45 mm    12,71 mm     6,78 mm  
 550,00 MeV   8,912E-01  3,237E-04  359,77 mm    14,91 mm     7,92 mm  
 600,00 MeV   8,429E-01  2,987E-04  417,41 mm    17,06 mm     9,11 mm  
 650,00 MeV   8,017E-01  2,774E-04  478,18 mm    19,17 mm    10,36 mm  
 700,00 MeV   7,662E-01  2,590E-04  541,91 mm    21,26 mm    11,66 mm  
 800,00 MeV   7,082E-01  2,289E-04  677,57 mm    28,76 mm    14,38 mm  
 900,00 MeV   6,629E-01  2,053E-04  823,41 mm    35,53 mm    17,26 mm  
   1,00 GeV   6,265E-01  1,862E-04  978,47 mm    41,88 mm    20,26 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  4,5639E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
