 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\3H_silicon.txt

 Ion = Hydrogen [1] , Mass = 3,016049 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,444E+01  2,849E+00    1815 A       797 A       720 A   
  11,00 keV   4,655E+01  2,698E+00    1975 A       832 A       761 A   
  12,00 keV   4,853E+01  2,564E+00    2132 A       864 A       799 A   
  13,00 keV   5,039E+01  2,445E+00    2286 A       895 A       835 A   
  14,00 keV   5,213E+01  2,338E+00    2437 A       923 A       869 A   
  15,00 keV   5,376E+01  2,242E+00    2585 A       949 A       902 A   
  16,00 keV   5,530E+01  2,154E+00    2731 A       973 A       933 A   
  17,00 keV   5,677E+01  2,073E+00    2875 A       996 A       963 A   
  18,00 keV   5,816E+01  2,000E+00    3017 A      1018 A       991 A   
  20,00 keV   6,080E+01  1,869E+00    3295 A      1058 A      1045 A   
  22,50 keV   6,392E+01  1,731E+00    3632 A      1103 A      1106 A   
  25,00 keV   6,692E+01  1,614E+00    3959 A      1143 A      1163 A   
  27,50 keV   6,987E+01  1,513E+00    4276 A      1179 A      1215 A   
  30,00 keV   7,276E+01  1,426E+00    4584 A      1211 A      1264 A   
  32,50 keV   7,559E+01  1,350E+00    4883 A      1241 A      1308 A   
  35,00 keV   7,837E+01  1,282E+00    5174 A      1268 A      1350 A   
  37,50 keV   8,107E+01  1,222E+00    5456 A      1292 A      1390 A   
  40,00 keV   8,368E+01  1,167E+00    5732 A      1315 A      1426 A   
  45,00 keV   8,862E+01  1,073E+00    6263 A      1356 A      1494 A   
