 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_silicon.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,363E+01  1,029E+01    1040 A       605 A       502 A   
  11,00 keV   5,619E+01  9,856E+00    1141 A       642 A       536 A   
  12,00 keV   5,863E+01  9,462E+00    1240 A       676 A       569 A   
  13,00 keV   6,101E+01  9,103E+00    1338 A       708 A       601 A   
  14,00 keV   6,336E+01  8,775E+00    1436 A       739 A       632 A   
  15,00 keV   6,571E+01  8,473E+00    1532 A       768 A       662 A   
  16,00 keV   6,807E+01  8,195E+00    1627 A       795 A       690 A   
  17,00 keV   7,045E+01  7,938E+00    1721 A       821 A       718 A   
  18,00 keV   7,283E+01  7,699E+00    1813 A       846 A       744 A   
  20,00 keV   7,759E+01  7,268E+00    1994 A       891 A       794 A   
  22,50 keV   8,346E+01  6,803E+00    2212 A       943 A       852 A   
  25,00 keV   8,919E+01  6,402E+00    2422 A       988 A       905 A   
  27,50 keV   9,476E+01  6,052E+00    2625 A      1029 A       953 A   
  30,00 keV   1,001E+02  5,744E+00    2820 A      1065 A       998 A   
  32,50 keV   1,054E+02  5,470E+00    3010 A      1099 A      1040 A   
  35,00 keV   1,104E+02  5,225E+00    3193 A      1129 A      1078 A   
  37,50 keV   1,154E+02  5,004E+00    3372 A      1156 A      1114 A   
  40,00 keV   1,201E+02  4,803E+00    3545 A      1182 A      1148 A   
  45,00 keV   1,293E+02  4,452E+00    3878 A      1227 A      1210 A   
