 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\4He_silicon.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  50,00 keV   1,380E+02  4,155E+00    4194 A      1266 A      1265 A   
  55,00 keV   1,463E+02  3,900E+00    4497 A      1300 A      1314 A   
  60,00 keV   1,541E+02  3,678E+00    4788 A      1330 A      1359 A   
  65,00 keV   1,617E+02  3,483E+00    5067 A      1357 A      1400 A   
  70,00 keV   1,689E+02  3,310E+00    5336 A      1382 A      1438 A   
  80,00 keV   1,823E+02  3,017E+00    5850 A      1424 A      1505 A   
  90,00 keV   1,947E+02  2,776E+00    6335 A      1459 A      1564 A   
 100,00 keV   2,062E+02  2,575E+00    6795 A      1490 A      1616 A   
 110,00 keV   2,168E+02  2,404E+00    7236 A      1516 A      1662 A   
 120,00 keV   2,265E+02  2,256E+00    7658 A      1539 A      1704 A   
 130,00 keV   2,356E+02  2,128E+00    8066 A      1560 A      1742 A   
 140,00 keV   2,440E+02  2,015E+00    8462 A      1578 A      1777 A   
 150,00 keV   2,518E+02  1,914E+00    8845 A      1595 A      1809 A   
 160,00 keV   2,590E+02  1,824E+00    9219 A      1611 A      1839 A   
 170,00 keV   2,657E+02  1,743E+00    9584 A      1625 A      1867 A   
 180,00 keV   2,719E+02  1,669E+00    9942 A      1638 A      1894 A   
 200,00 keV   2,830E+02  1,541E+00    1,06 um     1663 A      1942 A   
 225,00 keV   2,947E+02  1,408E+00    1,15 um     1691 A      1996 A   
 250,00 keV   3,044E+02  1,299E+00    1,23 um     1715 A      2045 A   
 275,00 keV   3,123E+02  1,206E+00    1,31 um     1737 A      2089 A   
 300,00 keV   3,187E+02  1,127E+00    1,39 um     1757 A      2130 A   
 325,00 keV   3,238E+02  1,058E+00    1,46 um     1776 A      2168 A   
 350,00 keV   3,279E+02  9,984E-01    1,54 um     1793 A      2204 A   
 375,00 keV   3,310E+02  9,454E-01    1,61 um     1809 A      2238 A   
 400,00 keV   3,334E+02  8,983E-01    1,69 um     1824 A      2271 A   
 450,00 keV   3,362E+02  8,178E-01    1,83 um     1859 A      2332 A   
 500,00 keV   3,370E+02  7,516E-01    1,98 um     1891 A      2389 A   
 550,00 keV   3,363E+02  6,960E-01    2,13 um     1921 A      2443 A   
 600,00 keV   3,345E+02  6,487E-01    2,27 um     1951 A      2495 A   
 650,00 keV   3,319E+02  6,079E-01    2,42 um     1979 A      2545 A   
 700,00 keV   3,288E+02  5,723E-01    2,57 um     2007 A      2594 A   
 800,00 keV   3,213E+02  5,131E-01    2,88 um     2084 A      2689 A   
 900,00 keV   3,131E+02  4,658E-01    3,19 um     2160 A      2782 A   
   1,00 MeV   3,046E+02  4,270E-01    3,51 um     2237 A      2874 A   
   1,10 MeV   2,961E+02  3,945E-01    3,84 um     2314 A      2967 A   
   1,20 MeV   2,878E+02  3,670E-01    4,18 um     2392 A      3060 A   
   1,30 MeV   2,798E+02  3,433E-01    4,53 um     2471 A      3153 A   
   1,40 MeV   2,722E+02  3,227E-01    4,89 um     2551 A      3249 A   
   1,50 MeV   2,648E+02  3,046E-01    5,26 um     2633 A      3345 A   
   1,60 MeV   2,579E+02  2,885E-01    5,65 um     2716 A      3444 A   
   1,70 MeV   2,512E+02  2,742E-01    6,04 um     2801 A      3544 A   
   1,80 MeV   2,450E+02  2,613E-01    6,44 um     2888 A      3647 A   
   2,00 MeV   2,333E+02  2,390E-01    7,27 um     3176 A      3858 A   
   2,25 MeV   2,204E+02  2,163E-01    8,37 um     3605 A      4135 A   
   2,50 MeV   2,089E+02  1,978E-01    9,53 um     4031 A      4426 A   
   2,75 MeV   1,988E+02  1,824E-01   10,75 um     4456 A      4732 A   
   3,00 MeV   1,897E+02  1,693E-01   12,04 um     4883 A      5053 A   
   3,25 MeV   1,815E+02  1,581E-01   13,38 um     5312 A      5388 A   
   3,50 MeV   1,741E+02  1,484E-01   14,78 um     5744 A      5737 A   
   3,75 MeV   1,674E+02  1,398E-01   16,24 um     6180 A      6101 A   
   4,00 MeV   1,613E+02  1,323E-01   17,76 um     6619 A      6478 A   
   4,50 MeV   1,505E+02  1,195E-01   20,96 um     8162 A      7272 A   
   5,00 MeV   1,414E+02  1,091E-01   24,38 um     9630 A      8118 A   
   5,50 MeV   1,334E+02  1,004E-01   28,02 um     1,11 um     9013 A   
   6,00 MeV   1,265E+02  9,313E-02   31,86 um     1,25 um     9955 A   
   6,50 MeV   1,203E+02  8,687E-02   35,90 um     1,39 um     1,09 um  
   7,00 MeV   1,149E+02  8,144E-02   40,15 um     1,53 um     1,20 um  
   8,00 MeV   1,056E+02  7,249E-02   49,21 um     2,02 um     1,42 um  
   9,00 MeV   9,758E+01  6,539E-02   59,05 um     2,48 um     1,65 um  
  10,00 MeV   9,017E+01  5,962E-02   69,69 um     2,93 um     1,90 um  
  11,00 MeV   8,432E+01  5,484E-02   81,14 um     3,38 um     2,17 um  
  12,00 MeV   7,926E+01  5,080E-02   93,36 um     3,83 um     2,46 um  
  13,00 MeV   7,485E+01  4,734E-02  106,32 um     4,28 um     2,76 um  
  14,00 MeV   7,096E+01  4,435E-02  120,02 um     4,74 um     3,08 um  
  15,00 MeV   6,750E+01  4,173E-02  134,44 um     5,20 um     3,41 um  
  16,00 MeV   6,440E+01  3,941E-02  149,59 um     5,67 um     3,75 um  
  17,00 MeV   6,161E+01  3,736E-02  165,44 um     6,14 um     4,12 um  
  18,00 MeV   5,907E+01  3,551E-02  181,99 um     6,61 um     4,49 um  
  20,00 MeV   5,464E+01  3,235E-02  217,15 um     8,36 um     5,29 um  
  22,50 MeV   5,005E+01  2,913E-02  264,89 um    10,85 um     6,36 um  
  25,00 MeV   4,625E+01  2,653E-02  316,78 um    13,21 um     7,51 um  
  27,50 MeV   4,304E+01  2,437E-02  372,75 um    15,52 um     8,75 um  
  30,00 MeV   4,029E+01  2,255E-02  432,70 um    17,81 um    10,06 um  
  32,50 MeV   3,791E+01  2,100E-02  496,59 um    20,10 um    11,46 um  
  35,00 MeV   3,582E+01  1,965E-02  564,35 um    22,41 um    12,93 um  
  37,50 MeV   3,397E+01  1,848E-02  635,93 um    24,74 um    14,48 um  
  40,00 MeV   3,232E+01  1,744E-02  711,28 um    27,10 um    16,10 um  
  45,00 MeV   2,951E+01  1,569E-02  873,00 um    35,75 um    19,57 um  
  50,00 MeV   2,719E+01  1,428E-02    1,05 mm    43,90 um    23,32 um  
  55,00 MeV   2,525E+01  1,310E-02    1,24 mm    51,85 um    27,35 um  
  60,00 MeV   2,359E+01  1,212E-02    1,44 mm    59,73 um    31,66 um  
  65,00 MeV   2,215E+01  1,128E-02    1,66 mm    67,63 um    36,23 um  
  70,00 MeV   2,090E+01  1,055E-02    1,90 mm    75,58 um    41,07 um  
  80,00 MeV   1,882E+01  9,350E-03    2,40 mm   104,61 um    51,51 um  
  90,00 MeV   1,715E+01  8,407E-03    2,96 mm   131,66 um    62,96 um  
 100,00 MeV   1,578E+01  7,643E-03    3,56 mm   158,04 um    75,37 um  
 110,00 MeV   1,464E+01  7,011E-03    4,22 mm   184,26 um    88,73 um  
 120,00 MeV   1,367E+01  6,480E-03    4,93 mm   210,58 um   103,01 um  
 130,00 MeV   1,284E+01  6,026E-03    5,68 mm   237,14 um   118,19 um  
 140,00 MeV   1,211E+01  5,634E-03    6,48 mm   263,99 um   134,25 um  
 150,00 MeV   1,147E+01  5,292E-03    7,33 mm   291,20 um   151,17 um  
 160,00 MeV   1,090E+01  4,991E-03    8,22 mm   318,77 um   168,93 um  
 170,00 MeV   1,040E+01  4,723E-03    9,16 mm   346,71 um   187,51 um  
 180,00 MeV   9,945E+00  4,484E-03   10,14 mm   375,04 um   206,90 um  
 200,00 MeV   9,161E+00  4,074E-03   12,24 mm   480,69 um   248,06 um  
 225,00 MeV   8,363E+00  3,659E-03   15,09 mm   631,20 um   303,81 um  
 250,00 MeV   7,712E+00  3,324E-03   18,20 mm   773,10 um   364,14 um  
 275,00 MeV   7,170E+00  3,047E-03   21,56 mm   911,39 um   428,86 um  
 300,00 MeV   6,712E+00  2,814E-03   25,16 mm     1,05 mm   497,81 um  
 325,00 MeV   6,320E+00  2,615E-03   29,00 mm     1,18 mm   570,81 um  
 350,00 MeV   5,980E+00  2,444E-03   33,06 mm     1,32 mm   647,72 um  
 375,00 MeV   5,683E+00  2,294E-03   37,34 mm     1,46 mm   728,39 um  
 400,00 MeV   5,420E+00  2,163E-03   41,84 mm     1,60 mm   812,70 um  
 450,00 MeV   4,976E+00  1,941E-03   51,47 mm     2,11 mm   991,77 um  
 500,00 MeV   4,617E+00  1,763E-03   61,89 mm     2,58 mm     1,18 mm  
 550,00 MeV   4,319E+00  1,615E-03   73,08 mm     3,04 mm     1,39 mm  
 600,00 MeV   4,068E+00  1,491E-03   85,00 mm     3,49 mm     1,60 mm  
 650,00 MeV   3,854E+00  1,385E-03   97,62 mm     3,93 mm     1,83 mm  
 700,00 MeV   3,669E+00  1,294E-03  110,90 mm     4,37 mm     2,07 mm  
 800,00 MeV   3,366E+00  1,144E-03  139,34 mm     5,96 mm     2,57 mm  
 900,00 MeV   3,129E+00  1,027E-03  170,14 mm     7,41 mm     3,10 mm  
   1,00 GeV   2,937E+00  9,316E-04  203,11 mm     8,78 mm     3,67 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  1,8488E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
