 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_silicon.txt

 Ion = Hydrogen [1] , Mass = 2,014101 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   5,372E+01  1,930E+00    1633 A       693 A       635 A   
  11,00 keV   5,600E+01  1,827E+00    1772 A       721 A       668 A   
  12,00 keV   5,812E+01  1,736E+00    1909 A       746 A       699 A   
  13,00 keV   6,011E+01  1,654E+00    2043 A       770 A       729 A   
  14,00 keV   6,202E+01  1,582E+00    2175 A       792 A       756 A   
  15,00 keV   6,387E+01  1,516E+00    2305 A       812 A       783 A   
  16,00 keV   6,568E+01  1,456E+00    2432 A       831 A       808 A   
  17,00 keV   6,747E+01  1,401E+00    2557 A       849 A       832 A   
  18,00 keV   6,923E+01  1,351E+00    2680 A       866 A       855 A   
  20,00 keV   7,270E+01  1,262E+00    2920 A       897 A       898 A   
  22,50 keV   7,693E+01  1,169E+00    3210 A       931 A       948 A   
  25,00 keV   8,100E+01  1,089E+00    3487 A       961 A       992 A   
  27,50 keV   8,488E+01  1,021E+00    3755 A       988 A      1033 A   
  30,00 keV   8,855E+01  9,623E-01    4014 A      1012 A      1070 A   
  32,50 keV   9,199E+01  9,105E-01    4264 A      1034 A      1105 A   
  35,00 keV   9,520E+01  8,647E-01    4508 A      1054 A      1137 A   
  37,50 keV   9,817E+01  8,237E-01    4745 A      1072 A      1167 A   
  40,00 keV   1,009E+02  7,869E-01    4977 A      1089 A      1196 A   
  45,00 keV   1,058E+02  7,234E-01    5426 A      1120 A      1248 A   
