 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\2H_silicon.txt

 Ion = Hydrogen [1] , Mass = 2,014101 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  50,00 keV   1,099E+02  6,703E-01    5861 A      1147 A      1295 A   
  55,00 keV   1,133E+02  6,253E-01    6283 A      1171 A      1338 A   
  60,00 keV   1,161E+02  5,865E-01    6696 A      1193 A      1378 A   
  65,00 keV   1,183E+02  5,527E-01    7102 A      1213 A      1415 A   
  70,00 keV   1,202E+02  5,230E-01    7503 A      1232 A      1451 A   
  80,00 keV   1,228E+02  4,730E-01    8293 A      1268 A      1517 A   
  90,00 keV   1,242E+02  4,326E-01    9074 A      1300 A      1577 A   
 100,00 keV   1,249E+02  3,991E-01    9851 A      1331 A      1634 A   
 110,00 keV   1,249E+02  3,708E-01    1,06 um     1359 A      1688 A   
 120,00 keV   1,245E+02  3,466E-01    1,14 um     1385 A      1740 A   
 130,00 keV   1,238E+02  3,257E-01    1,22 um     1411 A      1790 A   
 140,00 keV   1,228E+02  3,073E-01    1,30 um     1436 A      1839 A   
 150,00 keV   1,217E+02  2,911E-01    1,38 um     1460 A      1888 A   
 160,00 keV   1,205E+02  2,767E-01    1,46 um     1484 A      1935 A   
 170,00 keV   1,192E+02  2,637E-01    1,54 um     1507 A      1982 A   
 180,00 keV   1,178E+02  2,520E-01    1,62 um     1530 A      2028 A   
 200,00 keV   1,150E+02  2,317E-01    1,79 um     1585 A      2120 A   
 225,00 keV   1,115E+02  2,108E-01    2,01 um     1657 A      2235 A   
 250,00 keV   1,081E+02  1,937E-01    2,24 um     1730 A      2349 A   
 275,00 keV   1,049E+02  1,793E-01    2,47 um     1803 A      2465 A   
 300,00 keV   1,018E+02  1,670E-01    2,71 um     1876 A      2582 A   
 325,00 keV   9,888E+01  1,565E-01    2,95 um     1950 A      2700 A   
 350,00 keV   9,616E+01  1,473E-01    3,21 um     2025 A      2821 A   
 375,00 keV   9,360E+01  1,391E-01    3,47 um     2101 A      2943 A   
 400,00 keV   9,119E+01  1,319E-01    3,73 um     2178 A      3067 A   
 450,00 keV   8,680E+01  1,197E-01    4,29 um     2399 A      3323 A   
 500,00 keV   8,290E+01  1,097E-01    4,88 um     2620 A      3587 A   
 550,00 keV   7,941E+01  1,013E-01    5,49 um     2843 A      3861 A   
 600,00 keV   7,628E+01  9,424E-02    6,12 um     3068 A      4143 A   
 650,00 keV   7,345E+01  8,813E-02    6,79 um     3294 A      4434 A   
 700,00 keV   7,087E+01  8,282E-02    7,48 um     3522 A      4733 A   
 800,00 keV   6,637E+01  7,401E-02    8,92 um     4237 A      5358 A   
 900,00 keV   6,254E+01  6,700E-02   10,47 um     4927 A      6013 A   
   1,00 MeV   5,925E+01  6,128E-02   12,10 um     5605 A      6699 A   
   1,10 MeV   5,637E+01  5,651E-02   13,82 um     6277 A      7414 A   
   1,20 MeV   5,384E+01  5,247E-02   15,63 um     6946 A      8156 A   
   1,30 MeV   5,159E+01  4,900E-02   17,51 um     7616 A      8925 A   
   1,40 MeV   4,957E+01  4,599E-02   19,48 um     8287 A      9718 A   
   1,50 MeV   4,774E+01  4,335E-02   21,53 um     8961 A      1,05 um  
   1,60 MeV   4,609E+01  4,101E-02   23,65 um     9638 A      1,14 um  
   1,70 MeV   4,457E+01  3,893E-02   25,84 um     1,03 um     1,22 um  
   1,80 MeV   4,318E+01  3,706E-02   28,11 um     1,10 um     1,31 um  
   2,00 MeV   4,071E+01  3,384E-02   32,86 um     1,33 um     1,50 um  
   2,25 MeV   3,803E+01  3,057E-02   39,19 um     1,64 um     1,74 um  
   2,50 MeV   3,549E+01  2,790E-02   45,97 um     1,95 um     1,99 um  
   2,75 MeV   3,340E+01  2,568E-02   53,20 um     2,25 um     2,26 um  
   3,00 MeV   3,157E+01  2,381E-02   60,87 um     2,54 um     2,54 um  
   3,25 MeV   2,996E+01  2,220E-02   68,97 um     2,84 um     2,84 um  
   3,50 MeV   2,852E+01  2,081E-02   77,50 um     3,13 um     3,14 um  
   3,75 MeV   2,723E+01  1,960E-02   86,43 um     3,43 um     3,46 um  
   4,00 MeV   2,607E+01  1,852E-02   95,78 um     3,74 um     3,79 um  
   4,50 MeV   2,406E+01  1,670E-02  115,68 um     4,78 um     4,50 um  
   5,00 MeV   2,237E+01  1,523E-02  137,17 um     5,77 um     5,24 um  
   5,50 MeV   2,093E+01  1,400E-02  160,21 um     6,74 um     6,04 um  
   6,00 MeV   1,969E+01  1,297E-02  184,76 um     7,69 um     6,88 um  
   6,50 MeV   1,860E+01  1,208E-02  210,82 um     8,65 um     7,76 um  
   7,00 MeV   1,764E+01  1,132E-02  238,35 um     9,62 um     8,69 um  
   8,00 MeV   1,602E+01  1,006E-02  297,68 um    12,99 um    10,67 um  
   9,00 MeV   1,470E+01  9,060E-03  362,67 um    16,16 um    12,82 um  
  10,00 MeV   1,361E+01  8,251E-03  433,20 um    19,24 um    15,14 um  
  11,00 MeV   1,268E+01  7,580E-03  509,14 um    22,31 um    17,60 um  
  12,00 MeV   1,188E+01  7,015E-03  590,39 um    25,39 um    20,23 um  
  13,00 MeV   1,119E+01  6,532E-03  676,88 um    28,50 um    23,00 um  
  14,00 MeV   1,059E+01  6,114E-03  768,52 um    31,64 um    25,93 um  
  15,00 MeV   1,005E+01  5,749E-03  865,23 um    34,83 um    28,99 um  
  16,00 MeV   9,569E+00  5,426E-03  966,96 um    38,07 um    32,21 um  
  17,00 MeV   9,138E+00  5,140E-03    1,07 mm    41,35 um    35,56 um  
  18,00 MeV   8,748E+00  4,883E-03    1,19 mm    44,68 um    39,05 um  
  20,00 MeV   8,070E+00  4,443E-03    1,42 mm    56,69 um    46,45 um  
  22,50 MeV   7,370E+00  3,998E-03    1,75 mm    73,82 um    56,46 um  
  25,00 MeV   6,793E+00  3,637E-03    2,10 mm    90,11 um    67,29 um  
  27,50 MeV   6,309E+00  3,338E-03    2,48 mm   106,09 um    78,92 um  
  30,00 MeV   5,895E+00  3,086E-03    2,89 mm   122,01 um    91,32 um  
  32,50 MeV   5,538E+00  2,871E-03    3,33 mm   138,01 um   104,49 um  
  35,00 MeV   5,226E+00  2,686E-03    3,79 mm   154,15 um   118,42 um  
  37,50 MeV   4,952E+00  2,523E-03    4,28 mm   170,48 um   133,08 um  
  40,00 MeV   4,707E+00  2,381E-03    4,80 mm   187,03 um   148,46 um  
  45,00 MeV   4,291E+00  2,140E-03    5,91 mm   247,06 um   181,37 um  
  50,00 MeV   3,950E+00  1,945E-03    7,12 mm   303,70 um   217,06 um  
  55,00 MeV   3,665E+00  1,784E-03    8,43 mm   359,08 um   255,44 um  
  60,00 MeV   3,422E+00  1,649E-03    9,84 mm   414,12 um   296,44 um  
  65,00 MeV   3,214E+00  1,533E-03   11,34 mm   469,31 um   340,01 um  
  70,00 MeV   3,032E+00  1,433E-03   12,94 mm   524,92 um   386,09 um  
  80,00 MeV   2,731E+00  1,270E-03   16,41 mm   725,74 um   485,55 um  
  90,00 MeV   2,491E+00  1,140E-03   20,24 mm   913,06 um   594,43 um  
 100,00 MeV   2,295E+00  1,036E-03   24,42 mm     1,10 mm   712,37 um  
 110,00 MeV   2,132E+00  9,498E-04   28,93 mm     1,28 mm   839,03 um  
 120,00 MeV   1,994E+00  8,773E-04   33,77 mm     1,46 mm   974,11 um  
 130,00 MeV   1,875E+00  8,154E-04   38,93 mm     1,64 mm     1,12 mm  
 140,00 MeV   1,772E+00  7,620E-04   44,41 mm     1,83 mm     1,27 mm  
 150,00 MeV   1,682E+00  7,154E-04   50,19 mm     2,01 mm     1,43 mm  
 160,00 MeV   1,603E+00  6,744E-04   56,27 mm     2,20 mm     1,59 mm  
 170,00 MeV   1,532E+00  6,380E-04   62,64 mm     2,39 mm     1,77 mm  
 180,00 MeV   1,468E+00  6,054E-04   69,30 mm     2,59 mm     1,95 mm  
 200,00 MeV   1,358E+00  5,497E-04   83,44 mm     3,30 mm     2,33 mm  
 225,00 MeV   1,247E+00  4,934E-04  102,62 mm     4,30 mm     2,84 mm  
 250,00 MeV   1,157E+00  4,479E-04  123,40 mm     5,25 mm     3,39 mm  
 275,00 MeV   1,083E+00  4,104E-04  145,70 mm     6,16 mm     3,97 mm  
 300,00 MeV   1,020E+00  3,788E-04  169,46 mm     7,06 mm     4,59 mm  
 325,00 MeV   9,661E-01  3,519E-04  194,61 mm     7,94 mm     5,24 mm  
 350,00 MeV   9,198E-01  3,287E-04  221,09 mm     8,83 mm     5,91 mm  
 375,00 MeV   8,793E-01  3,085E-04  248,85 mm     9,71 mm     6,62 mm  
 400,00 MeV   8,438E-01  2,907E-04  277,83 mm    10,59 mm     7,34 mm  
 450,00 MeV   7,841E-01  2,608E-04  339,23 mm    13,78 mm     8,87 mm  
 500,00 MeV   7,360E-01  2,366E-04  404,96 mm    16,72 mm    10,48 mm  
 550,00 MeV   6,965E-01  2,167E-04  474,71 mm    19,51 mm    12,16 mm  
 600,00 MeV   6,635E-01  2,000E-04  548,17 mm    22,20 mm    13,91 mm  
 650,00 MeV   6,355E-01  1,857E-04  625,08 mm    24,83 mm    15,72 mm  
 700,00 MeV   6,115E-01  1,734E-04  705,19 mm    27,40 mm    17,58 mm  
 800,00 MeV   5,726E-01  1,533E-04  874,02 mm    36,53 mm    21,43 mm  
 900,00 MeV   5,425E-01  1,374E-04    1,05 m     44,66 mm    25,42 mm  
   1,00 GeV   5,186E-01  1,246E-04    1,24 m     52,19 mm    29,51 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  6,6141E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
