 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_silicon.txt

 Ion = Helium [2] , Mass = 3,016029 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6,00 MeV   1,059E+02  7,046E-02   36,78 um     1,47 um     1,20 um  
   6,50 MeV   1,006E+02  6,572E-02   41,62 um     1,64 um     1,33 um  
   7,00 MeV   9,526E+01  6,161E-02   46,71 um     1,81 um     1,47 um  
   8,00 MeV   8,645E+01  5,483E-02   57,71 um     2,43 um     1,77 um  
   9,00 MeV   7,952E+01  4,946E-02   69,75 um     3,00 um     2,09 um  
  10,00 MeV   7,374E+01  4,510E-02   82,79 um     3,56 um     2,44 um  
  11,00 MeV   6,884E+01  4,147E-02   96,80 um     4,12 um     2,80 um  
  12,00 MeV   6,462E+01  3,842E-02  111,76 um     4,68 um     3,20 um  
  13,00 MeV   6,094E+01  3,580E-02  127,67 um     5,24 um     3,61 um  
  14,00 MeV   5,770E+01  3,354E-02  144,50 um     5,81 um     4,05 um  
  15,00 MeV   5,483E+01  3,155E-02  162,25 um     6,38 um     4,50 um  
  16,00 MeV   5,226E+01  2,980E-02  180,90 um     6,96 um     4,98 um  
  17,00 MeV   4,995E+01  2,825E-02  200,43 um     7,55 um     5,48 um  
  18,00 MeV   4,786E+01  2,685E-02  220,85 um     8,15 um     6,00 um  
  20,00 MeV   4,421E+01  2,446E-02  264,27 um    10,32 um     7,10 um  
  22,50 MeV   4,043E+01  2,203E-02  323,31 um    13,42 um     8,58 um  
  25,00 MeV   3,731E+01  2,006E-02  387,58 um    16,36 um    10,18 um  
  27,50 MeV   3,468E+01  1,842E-02  456,98 um    19,24 um    11,90 um  
  30,00 MeV   3,244E+01  1,705E-02  531,40 um    22,11 um    13,74 um  
  32,50 MeV   3,049E+01  1,587E-02  610,77 um    24,98 um    15,68 um  
  35,00 MeV   2,879E+01  1,485E-02  695,02 um    27,88 um    17,74 um  
  37,50 MeV   2,729E+01  1,397E-02  784,08 um    30,80 um    19,90 um  
  40,00 MeV   2,595E+01  1,318E-02  877,88 um    33,77 um    22,17 um  
  45,00 MeV   2,367E+01  1,186E-02    1,08 mm    44,60 um    27,02 um  
  50,00 MeV   2,180E+01  1,079E-02    1,30 mm    54,81 um    32,28 um  
  55,00 MeV   2,022E+01  9,905E-03    1,54 mm    64,78 um    37,94 um  
  60,00 MeV   1,889E+01  9,159E-03    1,79 mm    74,68 um    43,98 um  
  65,00 MeV   1,773E+01  8,522E-03    2,07 mm    84,60 um    50,41 um  
  70,00 MeV   1,673E+01  7,971E-03    2,36 mm    94,59 um    57,21 um  
  80,00 MeV   1,506E+01  7,066E-03    2,98 mm   130,95 um    71,89 um  
  90,00 MeV   1,372E+01  6,353E-03    3,68 mm   164,86 um    88,00 um  
 100,00 MeV   1,263E+01  5,776E-03    4,44 mm   197,93 um   105,47 um  
 110,00 MeV   1,172E+01  5,298E-03    5,26 mm   230,81 um   124,26 um  
 120,00 MeV   1,094E+01  4,896E-03    6,14 mm   263,81 um   144,35 um  
 130,00 MeV   1,028E+01  4,553E-03    7,08 mm   297,08 um   165,69 um  
 140,00 MeV   9,701E+00  4,257E-03    8,08 mm   330,73 um   188,25 um  
 150,00 MeV   9,194E+00  3,999E-03    9,14 mm   364,79 um   212,00 um  
 160,00 MeV   8,745E+00  3,771E-03   10,26 mm   399,29 um   236,92 um  
 170,00 MeV   8,344E+00  3,569E-03   11,42 mm   434,24 um   262,97 um  
 180,00 MeV   7,985E+00  3,388E-03   12,65 mm   469,64 um   290,14 um  
 200,00 MeV   7,366E+00  3,078E-03   15,25 mm   601,00 um   347,73 um  
 225,00 MeV   6,736E+00  2,764E-03   18,80 mm   787,76 um   425,57 um  
 250,00 MeV   6,223E+00  2,511E-03   22,66 mm   963,52 um   509,59 um  
 275,00 MeV   5,797E+00  2,302E-03   26,82 mm     1,13 mm   599,49 um  
 300,00 MeV   5,438E+00  2,126E-03   31,26 mm     1,30 mm   695,00 um  
 325,00 MeV   5,131E+00  1,976E-03   35,99 mm     1,47 mm   795,85 um  
 350,00 MeV   4,864E+00  1,846E-03   40,99 mm     1,64 mm   901,80 um  
 375,00 MeV   4,632E+00  1,733E-03   46,25 mm     1,81 mm     1,01 mm  
 400,00 MeV   4,426E+00  1,634E-03   51,77 mm     1,98 mm     1,13 mm  
 450,00 MeV   4,081E+00  1,467E-03   63,52 mm     2,60 mm     1,37 mm  
 500,00 MeV   3,801E+00  1,331E-03   76,21 mm     3,17 mm     1,63 mm  
 550,00 MeV   3,570E+00  1,220E-03   89,77 mm     3,72 mm     1,91 mm  
 600,00 MeV   3,376E+00  1,126E-03  104,16 mm     4,26 mm     2,20 mm  
 650,00 MeV   3,211E+00  1,046E-03  119,33 mm     4,79 mm     2,50 mm  
 700,00 MeV   3,069E+00  9,773E-04  135,24 mm     5,31 mm     2,81 mm  
 800,00 MeV   2,836E+00  8,643E-04  169,12 mm     7,18 mm     3,47 mm  
 900,00 MeV   2,654E+00  7,754E-04  205,54 mm     8,87 mm     4,17 mm  
   1,00 GeV   2,509E+00  7,036E-04  244,26 mm    10,46 mm     4,90 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  2,3784E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
