 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\10Li_silicon.txt

 Ion = Lithium [3] , Mass = 10,03548 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,664E+01  5,121E+01      83 A        66 A        50 A   
   1,10 keV   1,746E+01  5,162E+01      89 A        71 A        53 A   
   1,20 keV   1,823E+01  5,193E+01      96 A        76 A        56 A   
   1,30 keV   1,898E+01  5,217E+01     103 A        80 A        60 A   
   1,40 keV   1,969E+01  5,234E+01     109 A        85 A        63 A   
   1,50 keV   2,038E+01  5,247E+01     116 A        90 A        66 A   
   1,60 keV   2,105E+01  5,255E+01     123 A        94 A        69 A   
   1,70 keV   2,170E+01  5,259E+01     129 A        99 A        72 A   
   1,80 keV   2,233E+01  5,260E+01     136 A       103 A        75 A   
   2,00 keV   2,354E+01  5,255E+01     149 A       111 A        82 A   
   2,25 keV   2,497E+01  5,237E+01     166 A       122 A        89 A   
   2,50 keV   2,632E+01  5,210E+01     183 A       132 A        97 A   
   2,75 keV   2,760E+01  5,177E+01     199 A       142 A       104 A   
   3,00 keV   2,883E+01  5,139E+01     216 A       152 A       111 A   
   3,25 keV   3,001E+01  5,099E+01     233 A       162 A       119 A   
   3,50 keV   3,114E+01  5,056E+01     249 A       171 A       126 A   
   3,75 keV   3,223E+01  5,011E+01     266 A       181 A       133 A   
   4,00 keV   3,329E+01  4,966E+01     283 A       190 A       140 A   
   4,50 keV   3,531E+01  4,874E+01     317 A       209 A       154 A   
   5,00 keV   3,722E+01  4,782E+01     351 A       227 A       168 A   
