 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\10Li_silicon.txt

 Ion = Lithium [3] , Mass = 10,03548 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
   5,50 keV   3,903E+01  4,691E+01     386 A       244 A       181 A   
   6,00 keV   4,077E+01  4,602E+01     420 A       262 A       195 A   
   6,50 keV   4,243E+01  4,516E+01     455 A       279 A       208 A   
   7,00 keV   4,404E+01  4,432E+01     489 A       296 A       221 A   
   8,00 keV   4,708E+01  4,273E+01     559 A       328 A       247 A   
   9,00 keV   4,993E+01  4,125E+01     629 A       359 A       273 A   
  10,00 keV   5,263E+01  3,988E+01     700 A       390 A       298 A   
  11,00 keV   5,520E+01  3,861E+01     770 A       419 A       322 A   
  12,00 keV   5,766E+01  3,742E+01     841 A       448 A       347 A   
  13,00 keV   6,001E+01  3,632E+01     911 A       475 A       370 A   
  14,00 keV   6,228E+01  3,529E+01     982 A       502 A       394 A   
  15,00 keV   6,446E+01  3,432E+01    1053 A       528 A       416 A   
  16,00 keV   6,658E+01  3,342E+01    1123 A       553 A       439 A   
  17,00 keV   6,863E+01  3,257E+01    1193 A       578 A       461 A   
  18,00 keV   7,061E+01  3,176E+01    1263 A       601 A       483 A   
  20,00 keV   7,443E+01  3,029E+01    1403 A       647 A       525 A   
  22,50 keV   7,920E+01  2,867E+01    1577 A       700 A       577 A   
  25,00 keV   8,366E+01  2,723E+01    1748 A       750 A       626 A   
  27,50 keV   8,780E+01  2,596E+01    1918 A       797 A       673 A   
  30,00 keV   9,165E+01  2,481E+01    2085 A       842 A       718 A   
  32,50 keV   9,519E+01  2,378E+01    2251 A       884 A       761 A   
  35,00 keV   9,845E+01  2,285E+01    2416 A       923 A       803 A   
  37,50 keV   1,014E+02  2,200E+01    2579 A       961 A       844 A   
  40,00 keV   1,042E+02  2,122E+01    2742 A       998 A       883 A   
  45,00 keV   1,093E+02  1,983E+01    3063 A      1066 A       959 A   
  50,00 keV   1,143E+02  1,865E+01    3379 A      1129 A      1030 A   
  55,00 keV   1,196E+02  1,761E+01    3690 A      1186 A      1097 A   
  60,00 keV   1,250E+02  1,670E+01    3995 A      1240 A      1161 A   
  65,00 keV   1,306E+02  1,589E+01    4292 A      1289 A      1221 A   
  70,00 keV   1,362E+02  1,517E+01    4582 A      1335 A      1278 A   
  80,00 keV   1,470E+02  1,393E+01    5142 A      1417 A      1383 A   
  90,00 keV   1,572E+02  1,290E+01    5677 A      1488 A      1478 A   
 100,00 keV   1,668E+02  1,203E+01    6191 A      1550 A      1565 A   
 110,00 keV   1,758E+02  1,128E+01    6685 A      1606 A      1644 A   
 120,00 keV   1,843E+02  1,064E+01    7162 A      1655 A      1716 A   
 130,00 keV   1,924E+02  1,007E+01    7623 A      1700 A      1783 A   
 140,00 keV   2,002E+02  9,563E+00    8070 A      1741 A      1845 A   
 150,00 keV   2,076E+02  9,112E+00    8505 A      1778 A      1904 A   
 160,00 keV   2,147E+02  8,707E+00    8929 A      1812 A      1958 A   
 170,00 keV   2,216E+02  8,340E+00    9341 A      1844 A      2009 A   
 180,00 keV   2,282E+02  8,007E+00    9744 A      1873 A      2057 A   
 200,00 keV   2,407E+02  7,422E+00    1,05 um     1927 A      2146 A   
 225,00 keV   2,552E+02  6,813E+00    1,15 um     1986 A      2245 A   
 250,00 keV   2,687E+02  6,305E+00    1,23 um     2037 A      2333 A   
 275,00 keV   2,813E+02  5,875E+00    1,32 um     2082 A      2412 A   
 300,00 keV   2,932E+02  5,505E+00    1,40 um     2121 A      2484 A   
 325,00 keV   3,043E+02  5,184E+00    1,48 um     2157 A      2549 A   
 350,00 keV   3,147E+02  4,901E+00    1,56 um     2189 A      2610 A   
 375,00 keV   3,246E+02  4,651E+00    1,63 um     2218 A      2666 A   
 400,00 keV   3,340E+02  4,427E+00    1,71 um     2245 A      2718 A   
 450,00 keV   3,513E+02  4,044E+00    1,85 um     2297 A      2813 A   
 500,00 keV   3,670E+02  3,727E+00    1,98 um     2342 A      2898 A   
 550,00 keV   3,813E+02  3,460E+00    2,11 um     2382 A      2973 A   
 600,00 keV   3,942E+02  3,232E+00    2,24 um     2417 A      3042 A   
 650,00 keV   4,061E+02  3,035E+00    2,36 um     2449 A      3106 A   
 700,00 keV   4,170E+02  2,862E+00    2,48 um     2479 A      3164 A   
 800,00 keV   4,361E+02  2,574E+00    2,71 um     2541 A      3269 A   
 900,00 keV   4,522E+02  2,343E+00    2,93 um     2595 A      3362 A   
   1,00 MeV   4,659E+02  2,152E+00    3,14 um     2644 A      3446 A   
   1,10 MeV   4,774E+02  1,993E+00    3,35 um     2688 A      3522 A   
   1,20 MeV   4,871E+02  1,857E+00    3,56 um     2729 A      3593 A   
   1,30 MeV   4,953E+02  1,740E+00    3,76 um     2766 A      3658 A   
   1,40 MeV   5,021E+02  1,637E+00    3,96 um     2802 A      3720 A   
   1,50 MeV   5,078E+02  1,547E+00    4,15 um     2835 A      3778 A   
   1,60 MeV   5,124E+02  1,467E+00    4,35 um     2867 A      3833 A   
   1,70 MeV   5,161E+02  1,396E+00    4,54 um     2898 A      3885 A   
   1,80 MeV   5,191E+02  1,332E+00    4,73 um     2927 A      3936 A   
   2,00 MeV   5,230E+02  1,220E+00    5,11 um     3008 A      4032 A   
   2,25 MeV   5,250E+02  1,107E+00    5,59 um     3117 A      4143 A   
   2,50 MeV   5,245E+02  1,013E+00    6,06 um     3220 A      4248 A   
   2,75 MeV   5,221E+02  9,358E-01    6,54 um     3320 A      4349 A   
   3,00 MeV   5,184E+02  8,698E-01    7,01 um     3417 A      4445 A   
   3,25 MeV   5,137E+02  8,132E-01    7,50 um     3513 A      4539 A   
   3,50 MeV   5,082E+02  7,639E-01    7,98 um     3606 A      4630 A   
   3,75 MeV   5,023E+02  7,206E-01    8,48 um     3699 A      4720 A   
   4,00 MeV   4,960E+02  6,823E-01    8,98 um     3792 A      4809 A   
   4,50 MeV   4,827E+02  6,173E-01   10,00 um     4104 A      4984 A   
   5,00 MeV   4,692E+02  5,643E-01   11,04 um     4408 A      5157 A   
   5,50 MeV   4,557E+02  5,202E-01   12,12 um     4709 A      5331 A   
   6,00 MeV   4,425E+02  4,829E-01   13,23 um     5007 A      5506 A   
   6,50 MeV   4,298E+02  4,508E-01   14,38 um     5305 A      5684 A   
   7,00 MeV   4,176E+02  4,230E-01   15,55 um     5603 A      5863 A   
   8,00 MeV   3,949E+02  3,771E-01   18,01 um     6670 A      6232 A   
   9,00 MeV   3,743E+02  3,406E-01   20,61 um     7688 A      6617 A   
  10,00 MeV   3,556E+02  3,109E-01   23,35 um     8680 A      7017 A   
  11,00 MeV   3,388E+02  2,862E-01   26,22 um     9659 A      7436 A   
  12,00 MeV   3,235E+02  2,654E-01   29,24 um     1,06 um     7873 A   
  13,00 MeV   3,096E+02  2,475E-01   32,39 um     1,16 um     8329 A   
  14,00 MeV   2,970E+02  2,320E-01   35,69 um     1,26 um     8803 A   
  15,00 MeV   2,854E+02  2,184E-01   39,12 um     1,36 um     9297 A   
  16,00 MeV   2,747E+02  2,065E-01   42,69 um     1,46 um     9810 A   
  17,00 MeV   2,649E+02  1,958E-01   46,39 um     1,55 um     1,03 um  
  18,00 MeV   2,558E+02  1,862E-01   50,22 um     1,65 um     1,09 um  
  20,00 MeV   2,396E+02  1,698E-01   58,29 um     2,03 um     1,20 um  
  22,50 MeV   2,215E+02  1,531E-01   69,14 um     2,56 um     1,36 um  
  25,00 MeV   2,046E+02  1,395E-01   80,88 um     3,07 um     1,53 um  
  27,50 MeV   1,913E+02  1,282E-01   93,50 um     3,57 um     1,71 um  
  30,00 MeV   1,798E+02  1,188E-01  106,97 um     4,07 um     1,90 um  
  32,50 MeV   1,698E+02  1,106E-01  121,27 um     4,56 um     2,10 um  
  35,00 MeV   1,610E+02  1,036E-01  136,37 um     5,06 um     2,32 um  
  37,50 MeV   1,531E+02  9,746E-02  152,28 um     5,56 um     2,54 um  
  40,00 MeV   1,461E+02  9,203E-02  168,98 um     6,07 um     2,78 um  
  45,00 MeV   1,340E+02  8,288E-02  204,70 um     7,94 um     3,28 um  
  50,00 MeV   1,239E+02  7,546E-02  243,47 um     9,70 um     3,82 um  
  55,00 MeV   1,154E+02  6,932E-02  285,24 um    11,40 um     4,40 um  
  60,00 MeV   1,082E+02  6,414E-02  329,96 um    13,09 um     5,02 um  
  65,00 MeV   1,018E+02  5,971E-02  377,57 um    14,78 um     5,68 um  
  70,00 MeV   9,627E+01  5,588E-02  428,04 um    16,47 um     6,37 um  
  80,00 MeV   8,696E+01  4,958E-02  537,29 um    22,69 um     7,86 um  
  90,00 MeV   7,945E+01  4,461E-02  657,54 um    28,47 um     9,50 um  
 100,00 MeV   7,325E+01  4,058E-02  788,56 um    34,09 um    11,26 um  
 110,00 MeV   6,804E+01  3,725E-02  930,14 um    39,66 um    13,16 um  
 120,00 MeV   6,359E+01  3,444E-02    1,08 mm    45,25 um    15,18 um  
 130,00 MeV   5,975E+01  3,205E-02    1,24 mm    50,88 um    17,33 um  
 140,00 MeV   5,638E+01  2,998E-02    1,42 mm    56,57 um    19,61 um  
 150,00 MeV   5,342E+01  2,817E-02    1,60 mm    62,33 um    22,00 um  
 160,00 MeV   5,078E+01  2,657E-02    1,79 mm    68,16 um    24,51 um  
 170,00 MeV   4,842E+01  2,516E-02    1,99 mm    74,08 um    27,15 um  
 180,00 MeV   4,629E+01  2,389E-02    2,20 mm    80,08 um    29,89 um  
 200,00 MeV   4,260E+01  2,172E-02    2,65 mm   102,70 um    35,73 um  
 225,00 MeV   3,882E+01  1,952E-02    3,27 mm   135,03 um    43,65 um  
 250,00 MeV   3,572E+01  1,774E-02    3,94 mm   165,56 um    52,24 um  
 275,00 MeV   3,313E+01  1,627E-02    4,67 mm   195,40 um    61,49 um  
 300,00 MeV   3,093E+01  1,503E-02    5,45 mm   225,02 um    71,39 um  
 325,00 MeV   2,904E+01  1,398E-02    6,28 mm   254,69 um    81,90 um  
 350,00 MeV   2,739E+01  1,307E-02    7,17 mm   284,53 um    93,03 um  
 375,00 MeV   2,594E+01  1,227E-02    8,10 mm   314,63 um   104,75 um  
 400,00 MeV   2,466E+01  1,157E-02    9,09 mm   345,04 um   117,06 um  
 450,00 MeV   2,249E+01  1,039E-02   11,21 mm   458,84 um   143,40 um  
 500,00 MeV   2,071E+01  9,438E-03   13,53 mm   565,31 um   171,95 um  
 550,00 MeV   1,923E+01  8,651E-03   16,03 mm   668,72 um   202,63 um  
 600,00 MeV   1,798E+01  7,990E-03   18,72 mm   770,93 um   235,37 um  
 650,00 MeV   1,691E+01  7,426E-03   21,59 mm   872,85 um   270,10 um  
 700,00 MeV   1,598E+01  6,939E-03   24,63 mm   974,99 um   306,76 um  
 800,00 MeV   1,445E+01  6,140E-03   31,21 mm     1,35 mm   385,64 um  
 900,00 MeV   1,323E+01  5,511E-03   38,44 mm     1,70 mm   471,56 um  
   1,00 GeV   1,224E+01  5,003E-03   46,29 mm     2,03 mm   564,13 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1,0000E-01                 eV / Angstrom 
  1,0000E+00                keV / micron   
  1,0000E+00                MeV / mm       
  4,3083E-03                keV / (ug/cm2) 
  4,3083E-03                MeV / (mg/cm2) 
  4,3083E+00                keV / (mg/cm2) 
  2,0093E-01                 eV / (1E15 atoms/cm2)
  6,0321E-03                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
